english_name,scientific_name,afrikaans_name,photo_name,length_to_measure,bag_limit,size_limit,closed_season,sasaa_heavy_tackle_record,sasaa_light_tackle_record,sasaa_women_record,sasaa_junior_record_u_21,sasaa_junior_u16_record,deep_sea_record_all_tackle,sassi_list,distribution_map,notes,salt_fresh_water,distribution
Giant yellowtail,Seriola lalandi,Reuse geelstert,Seriola lalandi.jpg,Fork length,10,No limit,Open all year,144 cm,115 cm,0 cm,113 cm,90 cm,19.5 kg,NOT LISTED,Map21.jpg,"Found in coastal and oceanic waters, off kelp beds and rocky areas, sometimes entering estuaries.  They are solitary or occur in small groups and can be found near rocky shores, reefs and islands.  Prefer warmer water (18-24°C) although they are occasionally found in cooler water.  Feed on small fish, squid and crustaceans.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Elizabeth
Golden kingfish,Gnathanodon speciosus,Goue koningvis,Gnathanodon speciosus.jpg,Fork length,5,No limit,Open all year,84 cm,0 cm,0 cm,0 cm,0 cm,Not listed,RED,Map16.jpg,"Golden kingfish can grow to more than 12kg, although such specimens are rare.  Most often those caught are less than 4kg.  Colour yellow to silvery with broad and narrow black bars alternating.  The fins are yellow.  Adults with few black blotches or spots on sides and the bars very faint.  Lips thick and fleshy.  Occur in deep lagoon and seaward reefs where they feed by rooting for crustaceans and other invertebrates in the sand.  Also feed on small fish.  Form schools.  Noted for their behaviour of closely swimming around sharks, other large fish and also following divers to gain protection from likely predators.  They feed close to the bottom and can be targeted using prawns, crabs or small live bait.  The flesh is excellent to eat.  Occurs from Mozambique to Durban",Salt,From Mozambique to False Bay
Goldsaddle hogfish,Bodianus perditio,Goudsaal-varkvis,Bodianus perditio.jpg,Fork length,10,No limit,Open all year,48 cm,0 cm,0 cm,0 cm,0 cm,3.5 kg,NOT LISTED,Map24.jpg,Adults found on deep offshore reefs while juveniles may occur in shallow water.  Adults inhabit the vicinity of coral and rocky reefs and are often found over sand or rubble substrates in deeper water.  Feeds mainly on benthic invertebrates such as molluscs and crustaceans.  Occurs from Mozambique to Port Edward,Salt,From Mozambique to Port Edward
Great barracuda,Sphyraena barracuda,Groot barrakuda,Sphyraena barracuda.jpg,Fork length,10,No limit,Open all year,140 cm,0 cm,0 cm,0 cm,0 cm,13.3 kg,NOT LISTED,Map24.jpg,"Although barracuda can grow to more than 30kg, usual catches are less than 10kg in South African waters.  It is found predominantly at or near the surface.  Juveniles occur in mangroves, estuaries and shallow sheltered reef areas, while adults occur in a wide range of habitats from murky inner harbours to open seas.  It is usually solitary, but can also be found in small aggregations.  Voracious predator feeding on fish, cephalopods and sometimes shrimps.  Barracuda are usually targeted using live bait or trolling Rapala-type lures.  Rarely attacks humans.  Have been reported to be ciguatoxic.  The flesh not esteemed.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Port Elizabeth
Great hammerheadshark,Sphyrna mokarran,Groot hamerkop,Sphyrna mokarran.jpg,Pre-caudal length,1,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map38.jpg,"A semi-oceanic shark, found close inshore as well as offshore over the continental shelves, island terraces, and in lagoons.  Often bottom and reef associated to depths of about 80m.  Prefers to feed on rays and stingrays, but also preys on other small bony fish, crabs, squid, other sharks and lobsters.  Potentially dangerous.  Occurs from Mozambique to Saldanha Bay",Salt,From Mozambique to Transkei
Great white shark,Carcharodon carcharias,Witdoodshaai,Carcharodon carcharias.jpg,Pre-caudal length,Not allowed,Not allowed,Permanently closed,260 cm,175 cm,0 cm,0 cm,0 cm,430 kg,ORANGE,Map41.jpg,"Primarily a coastal and offshore inhabitant of continental and insular shelves, but also occurs off oceanic islands far from land.  Often close inshore to the surf line penetrating into shallow bays.  Usually solitary or in pairs, with feeding aggregations of up to 10 individuals.  Feeds on bony fish, sharks, rays, seals, dolphins and porpoises, sea birds, carrion, squid, octopi, crabs and whales.  Gives birth to 7 to 14 young.  Maximum total length 6.5m or more and can weigh in excess of 3000kg.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Port Edward
Greater yellowtail / Amberjack,Seriola dumerili,Groter geelstert,Seriola dumerili.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,58.5 kg,GREEN,Map22.jpg,"Bluish grey above, shading to silvery white below.  Often has an amber stripe along the middle of the body.  Attains a maximum size of about 80kg.  Occurs solitary or in small schools.  Found in deep seaward reefs but also occasionally entering coastal bays.  Feed primarily on fish but also feeds on invertebrates.  Have been reported to be ciguatoxic.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Port Edward
Green jobfish,Aprion virescens,Groen jobvis,Aprion virescens.jpg,Fork length,10,No limit,Open all year,88 cm,0 cm,0 cm,80 cm,64 cm,15.4 kg,NOT LISTED,Map25.jpg,"Inhabits open waters of deep lagoons, channels, or seaward reefs.  Usually seen singly, but also in groups.  Feeds mainly on fish but also on shrimps, crabs, cephalopods and planktonic organisms.  Large individuals may be ciguatoxic.  Occurs from Mozambique to Transkei",Salt,From Mozambique to Port Edward
Grey chub,Kyphosus bigibbus,Grys vetsak,Kyphosus bigibbus.jpg,Fork length,10,No limit,Open all year,59 cm,38 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map18.jpg,Colour variable with a brown band across body.  Maximum length attained is about 75cm.  Has a brown band from the corner of the mouth to the gill.  Found around exposed seaward reefs off isolated islands.  Feeds on algae and seaweed.  Occurs from Mozambique to False Bay,Salt,From Mozambique to Transkei
Grey grunter,Pomadasys furcatus,Grys knorder,Pomadasys furcatus.jpg,Fork length,10,No limit,Open all year,38 cm,36 cm,0 cm,32 cm,26 cm,Not listed,NOT LISTED,Map16.jpg,In juveniles the band are forked toward the back whereas in adults the bands are double lines.  Maximum length attained is about 50cm.  Inhabits coastal waters and frequents sandy areas near rocks.  Usually occurs in schools.  The flesh is good but has a tendency to quickly go soft.  Occurs from Mozambique to Durban,Salt,From Mozambique to Transkei
Greyspot guitarfish,Rhinobatos leucospilus,Gryskol-sandkruiper,Rhinobatos leucospilus.jpg,Total length,1,No limit,Open all year,115 cm,106 cm,0 cm,101 cm,81 cm,Not listed,NOT LISTED,Map24.jpg,"Brown above, with large blue-grey spots on back and pectoral fins and symmetrical blue-grey bands on snout.  A few dark brown spots on the back and white below.  Found inshore from the surf to a depth of 100m.  Feeds on bivalves, gastropods, shrimps, crabs and small bony fish.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Transkei
Halfmoon rockcod,Epinephelus rivulatus,Halfmaan-klipkabeljou,Epinephelus rivulatus.jpg,Total length,5 and maximum of 5 species per day.,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,1.6 kg,NOT LISTED,Map19.jpg,"Body colours vary between red, brown and orange, with variable patterns formed by these colours.  Distinguished from other rockcods by the reddish blotch at the base of the pectoral fin.  One of the most abundant rockcods in southern Africa.  Occurs on coral reefs, areas with rocky substrata, algal flats and seagrass beds.  Feeds on fish and crustaceans Occurs from Mozambique to Knysna",Salt,From Mozambique to Mossel Bay
Hardnosed smooth-houndshark,Mustelus mosis,Hardeneus-hondhaai,Mustelus mosis.jpg,Total length,1,No limit,Open all year,110 cm,110 cm,0 cm,86 cm,69 cm,7.2 kg,ORANGE,Map7.jpg,"A smoothhound without spots and often with a white-tipped 1st dorsal fin.  Occurs over the continental shelf.  Sometimes seen on coral reefs.  Feeds on small bottom fish, molluscs, and crustaceans.  Occurs from East London to Namibia",Salt,From Mozambique to Durban
Honeycomb stingray,Himantura uarnak,Heuningkoek-pylstert,Himantura uarnak.jpg,Disc width,1,No limit,Open all year,169 cm,160 cm,140 cm,162 cm,125 cm,69.1 kg,ORANGE,Map17.jpg,"A huge stingray with conspicuous dark spots on a light brown disk.  Bands of black and white on the tail.  Tail nearly three times body length when intact.  Common off sandy beaches and in shallow estuaries and lagoons and also found in sandy areas of coral reefs.  Found offshore down to 50m.  Feeds on small fish, bivalves, crabs, shrimps, worms and jellyfishes.  Sting is venomous causing painful wounds and should be treated immediately by immersion in as hot water as can be handled.  Occurs from Mozambique to East London",Salt,From Mozambique to Durban
Hottentot,Pachymetopon blochii,Hottentot,Pachymetopon blochii.jpg,Fork length,10,22 cm,Open all year,47 cm,43 cm,0 cm,43 cm,34 cm,2.38 kg,GREEN,Map7.jpg,"Hottentot prefers cooler water and are often found amongst kelp beds.  They don’t exceed 2kg and most fish caught are small.  They are frequently caught off the west coast using lobster, mussels, red bait, or small pieces of fillet or pilchard as bait.  Feeds on seaweeds, echinoderms, crustaceans, molluscs and worms.  Most fish caught are too small to be considered for eating, although it makes for good eating.  Occurs from East London to Namibia",Salt,From Mozambique to Durban
Humpback snapper,Lutjanus gibbus,Boggel-snapper,Lutjanus gibbus.jpg,Fork length,10,No limit,Open all year,40 cm,38 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"Mainly inhabit coral reefs, sometimes forming large aggregations, which are mostly stationary during the day.  Juveniles occur in seagrass beds and in mixed sand and coral habitats of shallow sheltered reefs.  Sub-adults commonly form very large schools that are stationary or drift slowly along slopes during the day.  Large individuals found along coastal slopes at moderate depths.  Feed on fish and a variety of invertebrates including shrimps, crabs, lobsters, cephalopods and echinoderms.  Occurs from Mozambique to Durban",Salt,From Mozambique to Port Elizabeth
Indian goatfish,Parupeneus indicus,Indiese bokvis,Parupeneus indicus.jpg,Fork length,10,No limit,Open all year,45 cm,41 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,"Inhabit shallow sandy or silty areas of coastal and inner lagoon reefs.  Occur singly or in schools.  Large adults usually at moderate depths to about 30 m.  Feed on benthic invertebrates with the diet including small crabs, amphipods, shrimps, small octopuses, worms and small fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Transkei
Indian mackerel,Rastrelliger kanagurta,Indiese makriel,Rastrelliger kanagurta.jpg,Fork length,10,No limit,Open all year,29 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map16.jpg,"Back is blue-green and the sides are silver with a golden tint.  Adults occur in coastal bays, harbours and deep lagoons, usually in some turbid plankton-rich waters.  Found from Durban northwards to the Red Sea.  Form schools and feed on phytoplankton  and small zooplankton.  Occurs from Mozambique to Durban",Salt,From Mozambique to Port Elizabeth
Indian mirrorfish,Alectis indicus,Indiese spieelvis,Alectis indicus.jpg,Fork length,10,No limit,Open all year,96 cm,92 cm,0 cm,90 cm,72 cm,10 kg,NOT LISTED,Map16.jpg,"Mostly silvery with dusky green above.  Attains about 150cm.  Adults found over coral reefs in coastal waters where they form schools.  Juveniles are solitary and found in surface waters and in estuaries.  Feed on fish, squids, and crustaceans.  Occurs from Mozambique to Durban",Salt,From Mozambique to Durban
Janbruin / John Brown,Gymnocrotaphus curvidens,Janbruin,Gymnocrotaphus curvidens.jpg,Fork length,5,No limit,Open all year,44 cm,37 cm,0 cm,0 cm,0 cm,2.32 kg,RED,Map28.jpg,"""Eyes deep blue","the brown of live specimens fades quickly, leaving orange lines along the scale rows","sometimes with narrow dark crossbars.  Occurs mostly in shallow rocky areas, but also found down to 80m.  The flesh is excellent.  Occurs from Port Edward to False Bay""",Salt,From East London to False Bay
Java shark,Carcharhinus amboinensis,Javahaai,Carcharhinus amboinensis.jpg,Pre-caudal length,1,No limit,Open all year,192 cm,0 cm,0 cm,117 cm,94 cm,Not listed,ORANGE,Map15.jpg,"An inshore species of the continental shelve, commonly inhabiting warmer, shallow waters close inshore, near the surf line and along beaches.  May also be found in shallow bays and estuaries, as well as off the open coast but not in rivers.  Feeds on pelagic and bottom bony fish, sharks and rays, squid, shrimps, cuttlefish, octopus, lobsters, gastropods and mammalian carrion.  A potentially dangerous shark.  Occurs from Mozambique to Cape Agulhas",Salt,From Mozambique to Knysna
Javelin grunter,Pomadasys kaakan,Spies-knorder,Pomadasys kaakan.jpg,Fork length,10,No limit,Open all year,70 cm,70 cm,0 cm,64 cm,51 cm,2.8 kg,NOT LISTED,Map25.jpg,Inhabit turbid inshore waters with sandy to muddy bottoms to a depth of 75m.  Enter estuaries and can tolerate water with low salinity.  Often associated with inshore wrecks.  Feed on crustaceans and fish.  An uncommon species not often recorded from shore angling catches.  Occurs from Mozambique to Transkei,Salt,From Port Edward to False Bay
Karanteen / Strepie,Sarpa salpa,Strepie,Sarpa salpa.jpg,Fork length,10,15 cm,Open all year,32 cm,30 cm,0 cm,32 cm,0 cm,Not listed,NOT LISTED,Map23.jpg,"Most fish caught are small, although they can attain a maximum length of about 40cm.  Found over rocky substrates and sandy areas with algal growth.  Gregarious, sometimes forming sizeable schools.  Young mainly carnivorous on crustaceans while adults are almost exclusively herbivorous, feeding on seaweed.  They are an excellent bait fish and can be easily targeted using pilchard bait and small hooks amongst rocks.  Occurs from Mozambique to Saldanha Bay",Salt,From Mozambique to Port Elizabeth
King mackerel / Couta,Scomberomorus commerson,Katonkel,Scomberomorus commerson.jpg,Fork length,10,No limit,Open all year,167 cm,134 cm,0 cm,149 cm,119 cm,46.4 kg,ORANGE,Map20.jpg,"While they can attain 40kg, catches are usually between 5 and 20kg.  Distributed from near the edge of the continental shelf to shallow coastal waters, often of low salinity and high turbidity.  Also found over drop-offs, and shallow or gently sloping reefs and lagoon waters.  Usually hunts solitary and often swim in shallow water along coastal slopes.  Feed primarily on small fish like anchovies and also squids and shrimps.  Can be targeted using live bait or trolling a variety of artificial lures.  A wire trace is essential when targeting them.  Can occasionally be caught from the shore.  The flesh is excellent, although it has been reported to be ciguatoxic.  Occurs from Mozambique to Mossel Bay",Salt,From Mozambique to Saldanha Bay
King soldierbream,Argyrops spinifer,Koningsoldaatbras,Argyrops spinifer.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,6.2 kg,NOT LISTED,Map19.jpg,"Occurs in the Indo-West Pacific, Red Sea and East Africa to the Indo-Malayan Archipelago and northern Australia.  Inhabits a wide range of bottoms.  Young fish occur in very shallow waters of sheltered bays with larger individuals in deeper water.  Feeds on benthic invertebrates, mainly molluscs.  Occurs from Mozambique to Knysna",Salt,From Kosi Bay to Cape Agulhas
Klipvis,Clinus robustus,Sterk klipvis,Clinus robustus.jpg,Total length,10,No limit,Open all year,35.5 cm,35.5 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map6.jpg,"Colour variable reddish, green or green-brown with faint crossbars and fins that are barred or spotted.  An endemic species that reaches a maximum length of 50cm.  Inhabits  weedy areas.  Seldom caught by anglers.  Occurs from East London to False Bay",Salt,From Kosi Bay to False Bay
Ladder wrasse,Thalassoma trilobatum,Leer-lipvis,Thalassoma trilobatum.jpg,Fork length,10,No limit,Open all year,30 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Found in shallow exposed reef flats, usually with rock-base and mixed coral and algae.  Also occurs in surge-swept reef flats, reef margins, and clear rocky shorelines, but may venture to deeper waters up to 10 m.  Feeds on crustaceans, especially crabs, molluscs, and brittle stars.  Occurs from Mozambique to Transkei",Salt,From Mozambique to Namibia
Largemouth black bass,Micropterus salmoides,Grootbek swartbaars,Micropterus salmoides.jpg,Fork length,No limit,No limit,Open all year,6.3 kg,Not applicable,Not applicable,Not applicable,Not applicable,Not listed,NOT LISTED,,,Fresh,From Port Edward to False Bay
Largespot pompano,Trachinotus botla,Grootkol-pompano,Trachinotus botla.jpg,Fork length,5,No limit,Open all year,40 cm,40 cm,48 cm,47 cm,32 cm,4.3 kg,RED,Map25.jpg,"Largespot pompano can grow to over 2kg, although usual catches are smaller.  Bluish black above and silvery below.  It can be distinguished from other pompano species by the one to five large spots on or near the lateral line.  Occurs inshore in shallow, sandy surf zones.  Feeds on crabs, mussels, and worms.  Largespot pompano will take a variety of baits, with mole crabs being a particular favourite bait.  The flesh is quite tasty and makes for good eating.  Occurs from Mozambique to Transkei",Salt,From Cape to Namibia
Largetooth flounder,Pseudorhombus arsius,Groottand-botvis,Pseudorhombus arsius.jpg,Total length,10,No limit,Open all year,36 cm,36 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,Found in shallow waters and estuaries but also offshore up to depths of around 100m.  Usually found on sand or gravel bottoms.  Attains a maximum length of about 40cm.  Juveniles common in brackish water.  Found in the Indo-West Pacific to Port Elizabeth and possibly to Knysna.  Feeds on benthic animals.  Occurs from Mozambique to Port Elizabeth,Salt,From Durban to Saldanha Bay
Leervis / Garrick,Lichia amia,Leervis,Lichia amia.jpg,Fork length,2,70 cm,Open all year,132 cm,122 cm,86 cm,122 cm,98 cm,18.8 kg,RED,Map12.jpg,"Garrick prefers the inshore areas behind the back-line along sandy beaches.  It prefers calm, clear water as it hunts by sight.  Adults are brownish above and silvery white below.  Reaches sexual maturity at about 55cm and a maximum length of about 200cm or more than 30kg.  Adults feed mainly on fish while juveniles prefer crustaceans.  Also enters lower reaches of rivers and estuaries.  Juveniles are frequently caught in estuaries where they can be targeted with small poppers and other artificial lures.  It is a prized game fish, preferring live bait or fast moving artificial lures such as poppers or spoons.  Occurs from Kosi Bay to Namibia",Salt,From Mozambique to Durban
Lemon shark,Negaprion acutidens,Geelhaai,Negaprion acutidens.jpg,Pre-caudal length,1,No limit,Open all year,183 cm,162 cm,0 cm,0 cm,0 cm,Not listed,ORANGE,Map24.jpg,"A large, stocky, yellowish shark with a broad, blunt snout, narrow, smooth-cusped teeth in both jaws and equal-sized dorsal fins.  Found on continental and insular shelves and terraces.  Common on coral reefs and in warmer, shallow water, sandy lagoons and turbid mangrove swamps.  Feeds on smaller sharks, stingrays and on benthic bony fish.  Dangerous if provoked.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Namibia
Lemonfish,Plectorhinchus flavomaculatus,Lemmetjievis,Plectorhinchus flavomaculatus.jpg,Fork length,10,No limit,Open all year,50 cm,50 cm,0 cm,36 cm,29 cm,Not listed,NOT LISTED,Map25.jpg,"Golden lines on the side of the head while the body of adults are plain.  The pattern on the body of juveniles change from lines to a reticulate pattern, then to golden spots before finally disappearing with age.  Inhabits coastal waters near reefs and weedy areas.  Adults usually on silty reefs at moderate depths, or occasionally in current channels inshore.  Juveniles enter estuaries and harbours.  Feeds on small fish and crustaceans.  Occurs from Mozambique to Transkei",Salt,From Kosi Bay to False Bay
Leopard catshark,Poroderma pantherinum,Luiperd-kathaai,Poroderma pantherinum.jpg,Total length,1,No limit,Open all year,80 cm,74 cm,69 cm,0 cm,0 cm,2.2 kg,ORANGE,Map31.jpg,"In larger specimens virtually all traces of the original stripes may disappear.  Found on or near the bottom of warm-temperate waters, from the intertidal zone to 250m.  Prefers rocky reefs.  Rare in Kwa-Zulu Natal waters but abundant in Algoa Bay.  Nocturnal and feeds on small bony fish, crustaceans, octopus and worms.  Occurs from Port Edward to Saldanha Bay",Salt,From East London to Namibia
Lesser guitarfish / Sandshark,Rhinobatos annulatus,Kleiner sandhaai,Rhinobatos annulatus.jpg,Total length,1,No limit,Open all year,132 cm,125 cm,109 cm,93 cm,90 cm,4.9 kg,ORANGE,Map4.jpg,"The typical Cape colour variant has numerous small eyespots (dark brown spot ringed with white and a brown margin) on back.  The Natal colour variant has simple large dark spots.  Found from the surf line to about 70m depth and also enters estuaries.  Feeds on crustaceans, bivalves, worms and small bony fish.  Often taken in large numbers by shore anglers.  Takes almost any bait, but mostly targeted with fish bait – particularly pilchards.  Occurs from Durban to Namibia",Salt,From Kozi Bay to Mossel Bay
Longfin kingfish,Carangoides armatus,Langvin-koningvis,Carangoides armatus.jpg,Fork length,5,No limit,Open all year,53 cm,51 cm,0 cm,51 cm,43 cm,4.3 kg,RED,Map17.jpg,Bluish grey above and silvery below with a blackish blotch on the gill plate.  Inhabits rocky coastline areas as well as shallow bays.  It is a solitary species on inshore reefs.  Juveniles may enter estuaries.  Occurs from Mozambique to East London,Salt,From Mozambique to Knysna
Longfin yellowtail,Seriola rivoliana,Langvin-geelstert,Seriola rivoliana.jpg,Fork length,10,No limit,Open all year,34 cm,0 cm,0 cm,32 cm,26 cm,16.6 kg,NOT LISTED,Map19.jpg,"Found in outer reef slopes and offshore banks to depths of 160m or more.  Form small groups.  Adults occur in both coastal and oceanic waters.  Feed mainly on fish, but also on invertebrates.  May cause ciguatera poisoning, particularly in coral reef areas.  Occurs from Mozambique to Knysna",Salt,From Kosi Bay to False Bay
Mackerel,Scomber japonicus,Makriel,Scomber japonicus.jpg,Fork length,No limit,No limit,Open all year,58 cm,58 cm,0 cm,52 cm,42 cm,2.85 kg,GREEN,Map21.jpg,"Mackerel is a coastal pelagic species with seasonal migrations related to the breeding cycle.  Juveniles are found inshore and gradually move offshore with maturity.  Adults stay near the bottom during the day.  Mackerel go up to the open water at night, where they feed on copepods and other crustaceans, fish and squid.  Widely used as a commercial bait and also makes an excellent live bait for almost all predatory species.  Forms large shoals, and when one is caught, there are sure to be more.  The flesh is edible, but goes soft quickly if not handled properly.  As with tuna species – it is also best to bleed them if intended for the table.  Occurs from Mozambique to Namibia",Salt,From Mozambique to Knysna
Malabar kingfish,Carangoides malabaricus,Malabar-koningvis,Carangoides malabaricus.jpg,Fork length,5,No limit,Open all year,33 cm,0 cm,0 cm,0 cm,0 cm,Not listed,RED,Map16.jpg,"Generally silvery and bluish grey above with a small black spot on the gill plate.  Occurs on the continental shelf.  Found near rocks and coral reefs with juveniles often found in sandy bays.  Feeds on crustaceans, small squids and fish.  Occurs from Mozambique to Durban",Salt,From Mozambique to Transkei
Malabar rockcod,Epinephelus malabaricus,Malabar-klipkabeljou,Epinephelus malabaricus.jpg,Total length,5 and maximum of 5 species per day.,No limit,Open all year,76 cm,64 cm,61 cm,60 cm,48 cm,18.5 kg,NOT LISTED,Map17.jpg,"Common species found in a variety of habitats including coral and rocky reefs, tide pools, estuaries, mangrove swamps and sandy or mud bottoms from shore to depths of 150 m.  Juveniles found near shore and in estuaries.  Feeds primarily on fish and crustaceans, and occasionally on cephalopods.  Widely used in aquaculture mainly in the Far East.  Occurs from Mozambique to East London",Salt,From Mozambique to Port Elizabeth
Marbled electric ray,Torpedo sinuspersici,Marmer-drilvis,Torpedo sinuspersici.jpg,Disc width,1,No limit,Open all year,70 cm,48 cm,0 cm,46 cm,37 cm,Not listed,ORANGE,Map22.jpg,"Bright colour pattern of circles and irregular marks, cream or golden on dark red or brown to blackish background dorsally.  Found inshore over sandy bottoms, and also offshore from the surf zone down to 200m.  Also found on or near coral reefs.  Common in shallow sandy areas.  Feeds on bony fish and can deliver a powerful electric shock.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to False Bay
Marbled hawkfish,Cirrhitus pinnulatus,Marmer-valkvis,Cirrhitus pinnulatus.jpg,Total length,10,No limit,Open all year,33 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,"Inhabits reef fronts and rocky shorelines exposed to moderate to strong surge to depths of about 30m.  Feeds primarily on crabs, other crustaceans, small fish, sea urchins and brittle stars.  Maximum length about 30cm.  Occurs from Mozambique to Port Elizabeth",Salt,From Mozambique to Knysna
Milkfish,Chanos chanos,Melkvis,Chanos chanos.jpg,Fork length,10,No limit,Open all year,85 cm,0 cm,0 cm,0 cm,0 cm,15 kg,NOT LISTED,Map22.jpg,"Found in offshore marine waters and shallow coastal bays, but also frequently enter estuaries and occasionally penetrate freshwater streams.  A marine species which enters estuaries and rivers.  Adults occur in small to large schools near the coast or around islands where reefs are well developed.  Attains a maximum length of about 180cm.  Feeds on blue-green algae, soft algae, small benthic invertebrates, and even pelagic fish eggs and larvae.  Occurs from Mozambique to Port Elizabeth",Salt,From Kosi Bay to False Bay
Milkshark (Female),Rhizoprionodon acutus,Melkhaai,Rhizoprionodon acutus.jpg,Pre-caudal length,1,No limit,Open all year,79 cm,74 cm,0 cm,68 cm,54 cm,Not listed,ORANGE,Map24.jpg,"A small shark with a long, narrow snout.  Big eyes without notches.  Second dorsal fin small, low and behind larger anal fin.  No interdorsal ridge.  Grey or grey-brown above and white below.  Dorsal and anal fins with dusky or blackish edges.  Snout milky when viewed from below.  Found on continental shelves, often on sandy beaches.  Occurs near the surface in shallow waters.  Feeds on small pelagic and benthic bony fish, also cephalopods and invertebrates.  Often caught by shore anglers.  Occurs from Mozambique to Port Edward",Salt,From Port Elizabeth to Namibia
Milkshark (Male),Rhizoprionodon acutus,Melkhaai,Rhizoprionodon acutus.jpg,Pre-caudal length,1,No limit,Open all year,79 cm,74 cm,0 cm,68 cm,54 cm,Not listed,ORANGE,Map24.jpg,"A small shark with a long, narrow snout.  Big eyes without notches.  Second dorsal fin small, low and behind larger anal fin.  No interdorsal ridge.  Grey or grey-brown above and white below.  Dorsal and anal fins with dusky or blackish edges.  Snout milky when viewed from below.  Found on continental shelves, often on sandy beaches.  Occurs near the surface in shallow waters.  Feeds on small pelagic and benthic bony fish, also cephalopods and invertebrates.  Often caught by shore anglers.  Occurs from Mozambique to Port Edward",Salt,From Mozambique to Cape Agulhas
Minstrel rubberlip,Plectorhinchus schotaf,Minstreel,Plectorhinchus schotaf.jpg,Total length,10,No limit,Open all year,50 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map25.jpg,"Dusky to silvery grey, getting darker with age.  Young sometimes with faint blue lines below eyes and along the body.  Rarely exceeds a length of 40cm.  Found around rocks and corals from the surf zone to a depth of 80m.  Enters estuaries and rivers and juveniles can occur in tidal pools.  Occurs from Mozambique to Transkei",Salt,From Mozambique to Port Elizabeth
Natal fingerfin,Chirodactylus jessicalenorum,Natalse vingervin,Chirodactylus jessicalenorum.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map22.jpg,"Identified by its scarlet colour and shining red-black blotch at the base of the pectoral fin.  Inhabits coastal waters from the shore line to at least 20m.  Prefers rocky banks.  Feeds mainly on small, benthic invertebrates such as worms, crabs and molluscs, but also squid and small fish.  Occurs from Mozambique to Port Elizabeth",Salt,From Durban to False Bay
Natal knifejaw,Oplegnathus robinsoni,Natalse kraaibek,Oplegnathus robinsoni.jpg,Fork length,5,No limit,Open all year,46 cm,0 cm,0 cm,0 cm,0 cm,Not listed,RED,Map19.jpg,Adults are dark grey while juveniles are yellow with black bars.  Attains about 60cm.  Occur in coastal rocky and coral reefs to a depth of 100 m.  Benthic omnivores that can live longer than 10 years.  Spawning occurs throughout the year.  Occurs from Mozambique to Knysna,Salt,From Mozambique to Knysna
Natal moony,Monodactylus argenteus,Natalse maanskynvis,Monodactylus argenteus.jpg,Fork length,10,No limit,Open all year,0 cm,0 cm,0 cm,0 cm,0 cm,Not listed,NOT LISTED,Map20.jpg,"Found in bays, mangrove estuaries, tidal creeks, and lower reaches of freshwater streams and occasionally in silty coastal reefs.  Feeds on plankton and detritus.  Commonly seen in schools and often highly territorial.  Occurs from Mozambique to Mossel Bay",Salt,From Port Edward to Saldanha Bay
Natal stumpnose,Rhabdosargus sarba,Natalse stompneus,Rhabdosargus sarba.jpg,Fork length,5,25 cm,Open all year,68 cm,67 cm,53 cm,64 cm,51 cm,2.5 kg,RED,Map19.jpg,"While Natal stumpnose can grow to more than 5kg, catches are usually smaller than 2kg.  The bright yellow lines along the sides distinguishes it from the Cape Stumpnose.  Inhabit coastal waters and usually enters estuaries.  Abundant in shallow water and often caught in the surf or in rock pools.  Larger, solitary fish sometimes enter brackish mangrove areas.  Juveniles in estuaries move into deeper water with growth.  Often aggregates in schools.  Feed on benthic invertebrates, mainly molluscs and aquatic macrophytes.  Popular angling species that is commonly caught with prawns, pilchard or mussels.  Occurs from Mozambique to Knysna",Salt,From Port Edward to False Bay
